tweet,label
Fica de olho. Se tiver febre vai no hospital. Se cuida,1.0
Fazia tempo q eu n tinha febre nem lembrava como era. Muito ruim em baixo da água quentinha e eu tava batendo os dentes de tanto frio,1.0
você ouve dizer: falta de ar e o que você sente? Falta de ar SIM DR. AUZIO SIM,1.0
Vc deveria colocar a vacina contrq a febre aftosa em dia tbm só pra constar!!!!,0.0
Selena Gomez só quer encontrar um 'Boyfriend' em seu novo clipe: https://febreteen.com.br/2020/04/selena-gomez-so-quer-encontrar-um-boyfriend-em-seu-novo-clipe/ RT #BoyfriendMusicVideo,0.0
Estou com falta de ar por causa dessa situação toda,1.0
QUARENTENA DO D1 SÓ A RAPAZEADA COM FALTA DE AR,1.0
Carai mano que tosse chata,1.0
hmm acho q tô com febre i vamos de corona vairus,1.0
acabei de tossir minha mae q tosse é essa,1.0
Não aguento ficar com falta de ar mano,1.0
hj fui no mercado tava na fila e engasguei c minha saliva tive uma crise de tosse fodida em função disso e nunca fui olhado c tanto nojo e preocupação em toda minha vida,0.0
amoxicilina+clavutanato de potássio??? prednisona e um xarope p tosse q da um sono do carai,0.0
minha cunhada veio aqui em casa sentou do meu lado olhou no meu olho e disse: to com tosse,1.0
GURUS DA ESQUERDA DELIRAM  E NÃO DE FEBRE https://souchocolateenaodesisto.blogspot.com/2020/04/gurus-da-esquerda-deliram-e-nao-de-febre.html#.XpmK1sOD0sw.twitter,0.0
eu tinha melhorado  a febre tinha passado e tava td de boa agr a dor de cabeça voltou e eu to com ânsia,1.0
Obrigado Dr.Lucas  recentemente a falta de ar melhorou mas as dores na região das costelas continua  pode ser relacionado a tensão muscular ou gases ?,1.0
passei o dia c febre nessa desgraça coronga ainda nao por favor tenho q apronta mais um pouco ainda,1.0
Eu voltei a tomar calmante pq ainda tem a taquicardia que leva a falta de ar e ai não dou conta Mas o corpo somatiza mais do que a cabeça então ainda to em vantagem,0.0
essa noite dormi sem falta de ar passei o dia melhor.Tamo together sempre! #tamojuntooo,0.0
Minha falta de ar é tão psicólogico que eu tomo água pra passar,0.0
deixa eu contar uma coisa pra vocês... na quinta uma professora do turno da manhã da escola que eu trabalho (eu trabalho no turno da tarde) teve que sair mais cedo do trabalho. o motivo: a mãe dela que já estava com um resfriado passou a ter dificuldade pra respirar.,1.0
eu não aguento mais sentir falta de ar.......,1.0
Minha irmã tá com falta de ar Olha o micróbio aí kkkkkk fudeu rapaziada se ela tem eu tenho tbm,1.0
Geeeeente o Daniel tá com febre. Só consigo pensar em: CORONA VAIRUSSS! Tirem ele da casa. #BBB20,1.0
aniversario da @Bia_mv_ amanha,0.0
AAAAAAAAA magina,0.0
Descobri que só posso ir no hospital se eu tiver com febre tá ok né morrer com falta de ar tbm tá ok,1.0
Ele teve convívio próximo com o pai de 83 anos a mãe de 82 o irmão de 61 e as duas irmãs de 60 e 55. Os cinco parentes relataram nos últimos dias sintomas como tosse febre e falta de ar mas não conseguiram fazer o teste para coronavírus.,0.0
Vai no medico sim mesmo sem febre,1.0
Familiar próximo com quem tive contato dias atrás (só pra entregar máscara  nem fiquei mto tempo perto) acabou de ser afastado por ter uns sintomas de coronga. Irmã esses dias teve febre. Eu venho tendo falta de ar mas acreditando ser da sinusite. Torcer pra ser só coincidência,1.0
Zé rei delas fica induzindo a galera com enquete não compartilha link do gshow q é la q a gente ganha,0.0
A tosse : qualquer quadro respiratório viral causa tosse dor de garganta pode dar um pouco dor no corpo dor de cabeça nos olhos e nos ouvidos. E essa pessoa deve procurar um médico se ela perceber evolução com falta de ar ou pressão baixa por exemplo +,0.0
Amiga dica rápida  da um espirro bem alto ou tosse as pessoas afastam na hr  to fazendo muito isso ultimamente  recebo uns olhares feios mas n to nem aí  prefiro ser odiada do que correr perigo,1.0
Sim mas vamos ver de fazer outra  hoje eu tava meio desanimadinha com febre  a próxima vai ser melhor,1.0
- Eu acabei de retornar no hospital com meu irmão fiquem vendo ele está com coração acelerado e um pouco de falta de ar fomos em 3 hospitais os 3 falaram que é excesso de ansiedade com o que vem acontecendo pois bem se acontecer alguma coisa com meu irmão tá registrado aqui,1.0
a mulher ontem queria me dar a da febre amarela tbm  eu já tomei mas ta num papelzinho diferente  eu fiquei opa minha filha vira essa agulha pra lá,0.0
São sintomas de um resfriado normal no caso do corona a preocupação é a tosse persistente pq ataca a garganta e vai para os pulmões e a febre né mas não fica assim não vai ficar tudo bem!,0.0
e da-lhe tosse seca ha semanas sem parar,1.0
